,self,other,prep,conj,article,affect,pos,neg
alina,9.74,2.05,10.77,6.15,6.15,10.256,5.13,0
anastasia,5.77,4.49,7.69,4.49,9.62,6.41,25.64,0
anna,9.27,6.62,9.27,5.96,5.96,6.62,13.25,0
elizaveta,9.1,6.36,9.09,7.27,5,4.54,18.18,0
katerina,11.61,9.7,9.03,4.52,7.1,12.9,25.81,0
Kseniya-01,9.18,3.38,7.25,4.83,13.04,9.66,9.66,4.83
Kseniya-03,9.43,5.19,10.38,5.19,7.55,14.15,4.72,4.72
Kseniya-04,9.01,1,8.11,4.5,11.71,18.01,18.02,0
Kseniya-05,14.86,10.86,6.9,4.57,3.43,11.42,11.43,0
Kseniya-06,4.32,2.47,7.41,8.54,10.49,6.17,12.35,0
Mariia,5.4,7.05,8.3,7.47,9.13,8.3,12.45,4.15
Natalia,3.66,3.66,8.29,6.1,5.85,9.76,12.2,4.88
Tanya-01,3.12,5.47,3.91,5.47,3.91,16.65,16.04,0
Tanya-02,8.79,9.89,7.69,6.59,5.49,11,21.98,0
Tanya-03,6.54,12.15,0,0,4.67,0,18.69,0
Tanya-04,7.95,5.69,4.55,0,9.09,11.36,34.1,0
Tanya-05,0,7.69,3.21,5.13,6.41,12.82,19.23,6.41
Tanya-06,3.85,5.77,4.81,4.81,3.85,19.23,9.61,0
Tanya-07,5.5,6.42,6.42,5.5,9.17,9.17,36.7,0
Val,7.64,6.32,6.1,5.01,8.03,6.27,9.12,1.14
Vic_19-01,9.95,4.52,5.43,6.33,7.24,0,9.05,0
Vic-23,10.16,5.35,9.63,6.42,7.49,15.23,20.41,0
,,,,,,,,
,,,,,,,16.535,1.18772727272727
,,,,,,,8.48402686846063,2.16020927517547
